"","van.max.temp","van.tot.precip","squam.max.temp","squam.tot.precip","pem.max.temp","pem.tot.precip"
"van.max.temp",1,-0.267952703619899,0.9715858461268,-0.253543166508361,0.966149510133137,-0.187168904591902
"van.tot.precip",-0.267952703619899,1,-0.329152193206461,0.763599539081994,-0.281575553415956,0.699931583712234
"squam.max.temp",0.9715858461268,-0.329152193206461,1,-0.335128732528672,0.970292442407311,-0.254236748665688
"squam.tot.precip",-0.253543166508361,0.763599539081994,-0.335128732528672,1,-0.300609408431778,0.87137092407545
"pem.max.temp",0.966149510133137,-0.281575553415956,0.970292442407311,-0.300609408431778,1,-0.255598770242029
"pem.tot.precip",-0.187168904591902,0.699931583712234,-0.254236748665688,0.87137092407545,-0.255598770242029,1
